rowid,year,state,party,candidate,writein,candidatevotes,totalvotes
1,2012,Alabama,Republican,"Romney, Mitt",FALSE,1255925,2074338
2,2012,Alabama,Democrat,"Obama, Barack H.",FALSE,795696,2074338
3,2012,Alabama,Independent,,FALSE,18706,2074338
4,2012,Alabama,,,TRUE,4011,2074338
5,2012,Alaska,Republican,"Romney, Mitt",FALSE,164676,300495
6,2012,Alaska,Democrat,"Obama, Barack H.",FALSE,122640,300495
7,2012,Alaska,Libertarian,"Johnson, Gary",FALSE,7392,300495
8,2012,Alaska,Green,"Stein, Jill",FALSE,2917,300495
9,2012,Alaska,,,TRUE,2870,300495
10,2012,Arizona,Republican,"Romney, Mitt",FALSE,1233654,2299254
11,2012,Arizona,Democrat,"Obama, Barack H.",FALSE,1025232,2299254
12,2012,Arizona,Libertarian,"Johnson, Gary",FALSE,32100,2299254
13,2012,Arizona,Green,"Stein, Jill",FALSE,7816,2299254
14,2012,Arizona,,,TRUE,452,2299254
15,2012,Arkansas,Republican,"Romney, Mitt",FALSE,647744,1069468
16,2012,Arkansas,Democrat,"Obama, Barack H.",FALSE,394409,1069468
17,2012,Arkansas,Libertarian,"Johnson, Gary",FALSE,16276,1069468
18,2012,Arkansas,Green,"Stein, Jill",FALSE,9305,1069468
19,2012,Arkansas,Socialism And Liberation Party,"La Riva, Gloria Estella",FALSE,1734,1069468
20,2012,California,Democrat,"Obama, Barack H.",FALSE,7854285,13038547
21,2012,California,Republican,"Romney, Mitt",FALSE,4839958,13038547
22,2012,California,Libertarian,"Johnson, Gary",FALSE,143221,13038547
23,2012,California,Green,"Stein, Jill",FALSE,85638,13038547
24,2012,California,Peace & Freedom,"Barr, Roseanne",FALSE,53824,13038547
25,2012,California,American Independent Party,"Hoefling, Thomas Conrad """"Tom""""",FALSE,38372,13038547
26,2012,California,,,TRUE,23249,13038547
27,2012,Colorado,Democrat,"Obama, Barack H.",FALSE,1323101,2569516
28,2012,Colorado,Republican,"Romney, Mitt",FALSE,1185243,2569516
29,2012,Colorado,Libertarian,"Johnson, Gary",FALSE,35545,2569516
30,2012,Colorado,Green,"Stein, Jill",FALSE,7508,2569516
31,2012,Colorado,American Constitution Party,"Goode, Virgil Hamlin, Jr.",FALSE,6234,2569516
32,2012,Colorado,Peace & Freedom,"Barr, Roseanne",FALSE,5057,2569516
33,2012,Colorado,No Party Affiliation,"Reed, Jill Ann",FALSE,2588,2569516
34,2012,Colorado,Justice,"Anderson, Ross Carl """"Rocky""""",FALSE,1262,2569516
35,2012,Colorado,We The People,"Tittle, Sheila """"Samm""""",FALSE,791,2569516
36,2012,Colorado,America'S Party,"Hoefling, Thomas Conrad """"Tom""""",FALSE,679,2569516
37,2012,Colorado,Socialism And Liberation Party,"La Riva, Gloria Estella",FALSE,317,2569516
38,2012,Colorado,Socialist,"Alexander, Stewart",FALSE,308,2569516
39,2012,Colorado,American Third Position,"Miller, Merlin",FALSE,267,2569516
40,2012,Colorado,Objectivist Party,"Stevens, Thomas Robert """"Tom""""",FALSE,235,2569516
41,2012,Colorado,Socialist Workers,"Harris, James",FALSE,192,2569516
42,2012,Colorado,Socialist Equality Party,"White, Jerome Jerry",FALSE,189,2569516
43,2012,Connecticut,Democrat,"Obama, Barack H.",FALSE,905083,1558204
44,2012,Connecticut,Republican,"Romney, Mitt",FALSE,634892,1558204
45,2012,Connecticut,Libertarian,"Johnson, Gary",FALSE,12340,1558204
46,2012,Connecticut,Independent,,FALSE,4971,1558204
47,2012,Connecticut,,,TRUE,918,1558204
48,2012,Delaware,Democrat,"Obama, Barack H.",FALSE,242584,413890
49,2012,Delaware,Republican,"Romney, Mitt",FALSE,165484,413890
50,2012,Delaware,Libertarian,"Johnson, Gary",FALSE,3882,413890
51,2012,Delaware,Green,"Stein, Jill",FALSE,1940,413890
52,2012,District of Columbia,Democrat,"Obama, Barack H.",FALSE,267070,293764
53,2012,District of Columbia,Republican,"Romney, Mitt",FALSE,21381,293764
54,2012,District of Columbia,D.C. Statehood Green,"Stein, Jill",FALSE,2458,293764
55,2012,District of Columbia,Libertarian,"Johnson, Gary",FALSE,2083,293764
56,2012,District of Columbia,,,TRUE,772,293764
57,2012,Florida,Democrat,"Obama, Barack H.",FALSE,4237756,8474179
58,2012,Florida,Republican,"Romney, Mitt",FALSE,4163447,8474179
59,2012,Florida,Libertarian,"Johnson, Gary",FALSE,44726,8474179
60,2012,Florida,Green,"Stein, Jill",FALSE,8947,8474179
61,2012,Florida,Peace & Freedom,"Barr, Roseanne",FALSE,8154,8474179
62,2012,Florida,Objectivist Party,"Stevens, Thomas Robert """"Tom""""",FALSE,3856,8474179
63,2012,Florida,Constitution Party,"Goode, Virgil Hamlin, Jr.",FALSE,2607,8474179
64,2012,Florida,Justice,"Anderson, Ross Carl """"Rocky""""",FALSE,1754,8474179
65,2012,Florida,American Independent,"Hoefling, Thomas Conrad """"Tom""""",FALSE,946,8474179
66,2012,Florida,Reform Party,"Barnett, Andre",FALSE,820,8474179
67,2012,Florida,Socialist,"Alexander, Stewart",FALSE,799,8474179
68,2012,Florida,Socialism And Liberation Party,"Lindsay, Peta",FALSE,322,8474179
69,2012,Florida,,,TRUE,45,8474179
70,2012,Georgia,Republican,"Romney, Mitt",FALSE,2078688,3897839
71,2012,Georgia,Democrat,"Obama, Barack H.",FALSE,1773827,3897839
72,2012,Georgia,Libertarian,"Johnson, Gary",FALSE,45324,3897839
73,2012,Hawaii,Democrat,"Obama, Barack H.",FALSE,306658,437159
74,2012,Hawaii,Republican,"Romney, Mitt",FALSE,121015,437159
75,2012,Hawaii,Libertarian,"Johnson, Gary",FALSE,3840,437159
76,2012,Hawaii,Green,"Stein, Jill",FALSE,3184,437159
77,2012,Hawaii,,Blank Vote,FALSE,2227,437159
78,2012,Hawaii,,Over Vote,FALSE,235,437159
79,2012,Idaho,Republican,"Romney, Mitt",FALSE,420911,652274
80,2012,Idaho,Democrat,"Obama, Barack H.",FALSE,212787,652274
81,2012,Idaho,Libertarian,"Johnson, Gary",FALSE,9453,652274
82,2012,Idaho,Independent,,FALSE,6901,652274
83,2012,Idaho,Constitution Party,"Goode, Virgil Hamlin, Jr.",FALSE,2222,652274
84,2012,Illinois,Democrat,"Obama, Barack H.",FALSE,3019512,5242014
85,2012,Illinois,Republican,"Romney, Mitt",FALSE,2135216,5242014
86,2012,Illinois,Libertarian,"Johnson, Gary",FALSE,56229,5242014
87,2012,Illinois,Green,"Stein, Jill",FALSE,30222,5242014
88,2012,Illinois,,,TRUE,835,5242014
89,2012,Indiana,Republican,"Romney, Mitt",FALSE,1420543,2624534
90,2012,Indiana,Democrat,"Obama, Barack H.",FALSE,1152887,2624534
91,2012,Indiana,Libertarian,"Johnson, Gary",FALSE,50111,2624534
92,2012,Indiana,,,TRUE,993,2624534
93,2012,Iowa,Democrat,"Obama, Barack H.",FALSE,822544,1582180
94,2012,Iowa,Republican,"Romney, Mitt",FALSE,730617,1582180
95,2012,Iowa,Libertarian,"Johnson, Gary",FALSE,12926,1582180
96,2012,Iowa,,,TRUE,7442,1582180
97,2012,Iowa,Green,"Stein, Jill",FALSE,3769,1582180
98,2012,Iowa,Constitution Party,"Goode, Virgil Hamlin, Jr.",FALSE,3038,1582180
99,2012,Iowa,Nominated By Petition,,FALSE,1027,1582180
100,2012,Iowa,Socialist Workers,"Harris, James",FALSE,445,1582180
101,2012,Iowa,Socialism And Liberation Party,"La Riva, Gloria Estella",FALSE,372,1582180
102,2012,Kansas,Republican,"Romney, Mitt",FALSE,692634,1159971
103,2012,Kansas,Democrat,"Obama, Barack H.",FALSE,440726,1159971
104,2012,Kansas,Libertarian,"Johnson, Gary",FALSE,20456,1159971
105,2012,Kansas,Reform Party,"Baldwin, Charles """"Chuck""""",FALSE,5017,1159971
106,2012,Kansas,,,TRUE,1138,1159971
