Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Numerators_Total_Ballots_Counted,Voting Eligible Population,Voting Age Population,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Percent Ineligible Because of Felony Charges,Percent of Turnout Potentially Swayed by Ineligibilty
2014,0,0,United States,36.7,83262122,227157964,245712915,8.4,1493706,2298993,548576,3329718,1.35512535,3.999078957
2014,41,1,Alabama,33.2,1191274,3588783,3751844,2.5,31691,53640,8097,69826,1.861111496,5.861455887
2014,81,2,Alaska,54.8,285431,520562,553473,3.9,5216,7077,2210,11389,2.05773362,3.99010619
2014,61,3,Arizona,34.1,1537671,4510186,5110890,10.1,37516,73232,7502,86028,1.68322934,5.594694834
2014,42,4,Arkansas,40.3,852642,2117881,2263040,4,17756,28192,21743,55287,2.443041219,6.484198526
2014,71,5,California,30.7,7513972,24440416,29646675,16.8,136088,0,87104,223192,0.752839905,2.970359751
2014,62,6,Colorado,54.7,2080071,3800664,4128890,7.2,19121,0,10067,29188,0.706921231,1.403221332
2014,1,7,Connecticut,42.5,1096556,2577311,2828791,8.2,16113,0,2564,18677,0.660246727,1.703241786
2014,11,8,Delaware,34.9,238110,681526,735156,5.1,6625,15665,676,16073,2.186338682,6.750241485
2014,55,9,District of Columbia,35.7,177176,495899,547228,9.4,0,0,0,0,0,0
2014,43,10,Florida,43.3,6026802,13914216,15816663,10.6,95671,227087,4519,227359,1.437465033,3.772465065
2014,44,11,Georgia,38.6,2596947,6725041,7601982,7.1,50499,471067,25547,339844,4.470465729,13.0862894
2014,82,12,Hawaii,36.5,369554,1012123,1113693,8.6,5721,0,0,5721,0.513696324,1.548082283
2014,63,13,Idaho,39.8,445307,1119882,1205611,4.6,7901,33450,4217,30850,2.558868491,6.927804863
2014,21,14,Illinois,40.8,3680417,9028752,9922399,8.5,46465,0,0,46465,0.46828393,1.26249281
2014,22,15,Indiana,28.7,1387622,4829510,5033872,3.5,28638,0,0,28638,0.568906003,2.063818533
2014,31,16,Iowa,50.3,1142284,2269179,2386733,3.6,8686,29929,5769,31215,1.307854712,2.73268294
